Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,53,5,2,BALLARD SOUTH,707,1,0
2,33,22,48,UNIVERSITY,1955,0,0
2,51,18,40,QUEEN ANNE,1699,0,0
2,51,5,2,BALLARD SOUTH,191,6,0
2,10,14,30,DOWNTOWN COMMERCIAL,0,3,0
2,53,8,11,CAPITOL HILL,50,0,0
2,33,18,40,QUEEN ANNE,1806,0,0
2,53,11,22,ROOSEVELT/RAVENNA,672,6,0
2,53,8,11,CAPITOL HILL,1301,6,0
3,13,8,11,CAPITOL HILL,171,1,0
2,53,5,2,BALLARD SOUTH,1244,4,0
3,13,18,40,QUEEN ANNE,1858,0,0
2,46,14,31,DOWNTOWN COMMERCIAL,1707,0,0
2,53,7,10,SLU/CASCADE,1676,0,0
2,51,13,27,NORTHGATE,1668,0,0
2,33,11,22,ROOSEVELT/RAVENNA,1606,6,0
2,12,22,48,UNIVERSITY,1699,6,0
2,19,5,2,BALLARD SOUTH,549,0,0
2,12,8,11,CAPITOL HILL,1451,0,0
2,46,14,31,DOWNTOWN COMMERCIAL,1578,0,0
2,51,14,29,DOWNTOWN COMMERCIAL,1449,4,0
2,12,11,22,ROOSEVELT/RAVENNA,1440,0,0
2,44,14,30,DOWNTOWN COMMERCIAL,1415,0,0
2,53,14,29,DOWNTOWN COMMERCIAL,1076,0,0
2,33,18,40,QUEEN ANNE,665,0,0
2,54,13,27,NORTHGATE,823,6,0
2,53,7,9,SLU/CASCADE,1415,0,0
2,12,18,40,QUEEN ANNE,800,0,0
2,53,8,13,FIRST HILL,992,3,0
2,51,13,27,NORTHGATE,1861,5,0
2,53,22,48,ROOSEVELT/RAVENNA,719,0,0
2,44,8,11,CAPITOL HILL,1183,0,0
2,12,14,31,DOWNTOWN COMMERCIAL,835,0,0
2,27,22,49,UNIVERSITY,1562,6,0
2,1,7,10,SLU/CASCADE,1522,4,0
2,46,12,23,DOWNTOWN COMMERCIAL,1031,0,0
2,46,14,30,DOWNTOWN COMMERCIAL,984,0,0
2,46,14,31,DOWNTOWN COMMERCIAL,1187,0,0
2,12,13,27,NORTHGATE,1902,5,0
2,53,18,40,QUEEN ANNE,314,6,0
2,53,5,3,BALLARD SOUTH,1381,6,0
2,12,7,9,QUEEN ANNE,0,4,0
2,54,7,9,QUEEN ANNE,0,4,0
2,12,5,2,BALLARD SOUTH,984,0,0
2,1,18,41,QUEEN ANNE,336,6,0
2,53,18,41,QUEEN ANNE,1606,5,0
2,54,8,12,FIRST HILL,1076,6,0
2,12,18,40,QUEEN ANNE,1902,5,0
2,53,10,17,FIRST HILL,1606,5,0
2,53,5,3,BALLARD SOUTH,324,6,0
2,10,7,9,SLU/CASCADE,1088,6,0
2,1,18,40,QUEEN ANNE,0,5,0
2,53,12,23,DOWNTOWN COMMERCIAL,1699,5,0
2,53,14,29,DOWNTOWN COMMERCIAL,1642,6,0
2,1,18,40,QUEEN ANNE,0,5,0
2,53,18,40,QUEEN ANNE,2008,5,0
2,53,22,49,UNIVERSITY,864,6,0
2,53,8,13,FIRST HILL,549,0,0
1,31,13,27,NORTHGATE,661,0,0
2,46,5,3,BALLARD SOUTH,643,0,0
2,12,11,22,ROOSEVELT/RAVENNA,574,0,0
2,53,5,2,BALLARD SOUTH,1199,6,0
2,53,7,9,QUEEN ANNE,7,5,0
2,12,13,27,NORTHGATE,1041,5,0
2,53,7,10,SLU/CASCADE,2008,6,0
2,46,15,33,NORTHGATE,553,0,0
2,1,12,23,DOWNTOWN COMMERCIAL,0,0,0
2,12,8,12,CAPITOL HILL,2075,6,0
2,12,22,49,UNIVERSITY,2041,6,0
2,12,7,9,SLU/CASCADE,1733,6,0
2,46,14,31,DOWNTOWN COMMERCIAL,1568,6,0
2,51,22,49,UNIVERSITY,1437,4,0
3,13,22,50,ROOSEVELT/RAVENNA,1428,6,0
2,46,14,31,DOWNTOWN COMMERCIAL,1654,6,0
2,12,18,40,QUEEN ANNE,0,5,0
