Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,53,22,U3,52,1004,4,0
2,46,8,E1,8,1650,3,0
2,53,22,U3,52,1076,4,0
2,53,7,D3,53,0,4,0
2,54,19,R2,38,741,5,0
2,54,19,R2,38,1339,5,0
2,54,18,Q2,47,1339,5,0
2,33,7,D3,53,1381,5,0
2,54,7,D3,53,1381,5,0
1,29,15,N2,6,984,5,0
1,29,5,B2,21,1428,3,0
1,47,5,B2,21,1428,3,0
1,47,7,D2,53,1306,3,0
1,29,18,Q2,47,1157,2,0
2,12,5,B2,21,848,3,0
1,47,5,B2,21,848,3,0
2,33,18,Q2,47,1861,2,0
2,58,5,B3,60,905,3,0
1,29,5,B3,60,905,3,0
1,47,22,U2,58,854,3,0
1,47,19,R2,12,755,3,0
1,47,8,E3,8,581,3,0
1,47,22,U2,58,529,3,0
2,44,5,B2,21,348,3,0
2,8,13,L2,43,2045,2,0
1,47,12,K3,11,41,3,0
1,0,12,K3,11,0,3,0
2,44,13,L2,43,438,1,0
2,9,18,Q3,47,936,2,0
2,44,19,R2,38,1662,2,0
2,50,18,Q3,47,0,1,0
2,50,7,D2,53,1164,2,0
2,33,18,Q2,47,0,2,0
2,9,5,B2,4,0,2,0
2,1,5,B2,4,580,1,0
2,1,15,N2,43,354,6,0
2,8,15,N2,43,0,6,0
2,8,5,B1,4,1522,5,0
2,9,15,N2,6,809,2,0
2,1,5,B2,4,920,1,0
2,53,5,B2,21,0,3,0
2,53,22,U1,50,326,0,0
2,33,7,D3,53,582,2,0
2,12,22,U1,58,1562,0,0
2,54,7,D2,47,984,2,0
2,58,22,U3,52,0,4,0
2,10,22,U1,58,415,1,0
2,8,5,B3,60,438,0,0
2,53,22,U3,52,1743,6,0
2,53,7,D3,53,1135,0,0
2,1,22,U2,58,1187,6,0
2,1,5,B3,60,482,0,0
2,46,22,U3,50,1650,5,0
2,8,7,D2,53,2096,3,0
2,26,12,K3,11,0,1,0
2,51,12,K3,11,392,1,0
2,54,5,B2,4,276,1,0
2,54,15,N2,43,984,2,0
2,8,24,W2,2,1228,2,0
2,10,13,L2,43,0,5,0
2,53,22,U3,52,741,3,0
2,1,5,B3,60,1499,3,0
2,26,22,U3,52,1076,5,0
2,46,22,U3,50,1391,1,0
3,55,15,N2,43,1381,5,0
2,1,5,B1,4,1902,3,0
2,8,5,B3,60,1806,4,0
2,12,8,E3,8,1162,4,0
2,53,8,E3,20,1593,4,0
2,1,18,Q3,47,1130,1,0
2,1,22,U2,58,613,4,0
2,53,18,Q3,47,1157,3,0
2,12,18,Q3,47,1053,3,0
2,12,5,B3,44,932,3,0
2,19,13,L2,43,0,5,0
2,8,8,E3,20,984,3,0
2,1,18,Q2,47,1451,5,0
2,51,7,D2,53,1067,5,0
2,8,5,B1,4,781,5,0
2,53,7,D3,53,597,3,0
2,26,5,B1,4,1606,2,0
2,8,7,D3,53,1650,2,0
2,1,22,U3,52,1244,2,0
2,8,8,E1,8,95,5,0
2,8,5,B1,4,0,3,0
2,26,7,D3,18,276,2,0
2,53,7,D2,47,1562,5,0
2,1,24,W2,1,1391,5,0
2,1,18,Q3,47,1606,0,0
2,1,22,U1,58,1733,0,0
2,8,18,Q2,47,1806,0,0
2,1,13,L2,29,0,0,0
2,8,7,D2,47,0,1,0
2,8,22,U1,58,2008,0,0
2,8,8,E1,8,0,6,0
2,53,18,Q2,47,1543,0,0
2,8,7,D2,47,857,6,0
2,53,5,B2,21,1522,6,0
2,8,8,E1,8,661,0,0
2,54,5,B3,21,2008,5,0
2,1,22,U2,58,692,5,0
2,12,24,W2,1,0,0,0
2,53,18,Q2,47,95,0,0
2,8,5,B2,4,1920,5,0
2,53,13,L2,43,0,0,0
2,8,5,B2,21,1113,6,0
2,53,15,N2,43,1150,6,0
2,53,15,N2,43,214,0,0
2,8,8,E1,8,1031,5,0
2,26,13,L2,43,796,0,0
2,54,22,U1,50,23,0,0
2,8,24,W2,1,1562,6,0
2,12,24,W2,1,900,0,0
2,54,8,E3,8,984,5,0
2,12,22,U2,58,425,5,0
2,53,5,B3,60,34,0,0
2,53,22,U1,50,1469,5,0
2,53,18,Q3,47,1076,5,0
2,12,22,U2,58,1428,5,0
2,1,13,L2,43,1428,6,0
2,53,5,B2,4,0,0,0
2,53,18,Q3,47,1076,5,0
2,53,5,B2,44,0,6,0
2,8,22,U1,50,515,5,0
2,1,5,B1,4,1428,5,0
2,53,22,U3,52,1543,5,0
2,53,5,B3,60,462,6,0
2,1,22,U3,52,1449,5,0
2,53,22,U3,52,50,5,0
2,51,7,D2,47,1230,6,0
2,12,5,B3,60,41,6,0
2,53,7,D3,18,1699,5,0
2,8,22,U1,50,1806,5,0
2,1,18,Q2,47,1101,6,0
2,10,8,E3,20,107,6,0
2,46,13,L2,43,1059,6,0
2,53,8,E3,20,7,6,0
2,12,18,Q3,53,697,1,0
1,47,18,Q3,53,697,1,0
2,8,22,U1,50,523,5,0
2,1,18,Q2,47,512,5,0
2,1,22,U3,52,0,6,0
2,53,7,D3,18,354,6,0
2,53,22,U2,58,0,5,0
2,8,5,B3,60,1955,5,0
2,8,22,U2,58,167,6,0
2,53,5,B2,21,150,6,0
2,1,7,D3,53,1902,5,0
3,55,12,K3,11,384,0,0
2,8,22,U2,58,1665,5,0
2,54,18,Q2,47,65,5,0
2,53,24,W2,1,150,5,0
2,53,22,U1,50,121,5,0
2,54,8,E3,20,2061,4,0
2,1,5,B1,4,95,5,0
2,12,7,D3,53,0,3,0
2,1,7,D2,53,1806,3,0
2,50,5,B2,4,1639,3,0
3,13,5,B3,60,1571,3,0
2,8,18,Q3,47,494,3,0
2,12,18,Q3,53,2061,2,0
2,8,7,D3,18,438,3,0
2,8,18,Q3,47,1606,2,0
2,19,13,L2,43,0,3,0
2,12,12,K3,11,0,3,0
1,29,15,N2,43,736,3,0
2,1,5,B2,4,1833,1,0
2,53,19,R2,38,0,3,0
2,12,7,D3,53,195,3,0
2,33,18,Q3,47,1428,2,0
2,46,13,L2,43,1767,2,0
2,51,7,D2,53,1076,2,0
